uuid,start_time,time_offset,heart_rate,min,max,heart_rate_zone,binning_data
bdccb6f2-2b60-49f6-b803-315ff2994ab0,1682942400000,600,104,89,129,fat_burn,hr_bin_0.json
4f0eb3e0-6fdd-489c-a752-987eccbe207b,1683028800000,600,87,68,123,fat_burn,hr_bin_1.json
41e2c98e-83c1-4853-9e53-b81f9f296440,1683115200000,600,94,79,119,fat_burn,hr_bin_2.json
b5ce66d0-9a68-4c50-9b94-8578cbb7a4b1,1683201600000,600,99,84,124,fat_burn,hr_bin_3.json
bb105523-4bb0-4d57-adec-64053abf6d46,1683288000000,600,93,77,119,fat_burn,hr_bin_4.json
e6599e85-84eb-490d-9c47-0631a85ed697,1683374400000,600,103,88,128,fat_burn,hr_bin_5.json
9a712bfa-b41d-4e9f-8b8c-a89d354477fc,1683460800000,600,92,75,120,fat_burn,hr_bin_6.json
bb644ca2-747d-449f-94de-0573170096a8,1683547200000,600,97,82,122,fat_burn,hr_bin_7.json
ccf2b24f-e7cd-491e-acc1-d5f983de068b,1683633600000,600,95,80,120,fat_burn,hr_bin_8.json
7249dde5-467f-428d-8206-1262c5563167,1683720000000,600,104,89,129,fat_burn,hr_bin_9.json
3926b64d-1f7f-4a3f-9ca4-20cd8ee2f324,1683806400000,600,95,80,120,fat_burn,hr_bin_10.json
52555949-ec60-4888-8bac-81d8a415aeff,1683892800000,600,94,79,119,fat_burn,hr_bin_11.json
e7514709-32bf-4d28-897d-9e691dc02be3,1683979200000,600,100,85,125,fat_burn,hr_bin_12.json
80a13ebf-91e4-464d-9d67-8d25b97ffade,1684065600000,600,102,87,127,fat_burn,hr_bin_13.json
cd32b5cb-5ec7-4d07-9338-6418d1d9cb5c,1684152000000,600,85,65,123,fat_burn,hr_bin_14.json
cdeb70e7-a561-403c-b218-66264a264daf,1684238400000,600,92,76,118,fat_burn,hr_bin_15.json
f479d726-601e-447d-b7ff-00b89ed59248,1684324800000,600,89,71,120,fat_burn,hr_bin_16.json
de567525-8b68-4b6c-a5a4-63ae0a828f2f,1684411200000,600,96,81,121,fat_burn,hr_bin_17.json
adfbd26d-a31f-41a3-ad1f-35c56ac3cd77,1684497600000,600,99,84,124,fat_burn,hr_bin_18.json
b0fd25cd-2be7-4cdb-a4ea-fcf718370578,1684584000000,600,95,80,120,fat_burn,hr_bin_19.json
ed1b1d6c-bc3e-439c-87bf-6fc4f69a62f6,1684670400000,600,99,84,124,fat_burn,hr_bin_20.json
93e95f69-7088-4e9c-bdaa-e3b54c357622,1684756800000,600,90,73,119,fat_burn,hr_bin_21.json
0d080f4c-6110-4346-a76b-34376196e69d,1684843200000,600,84,64,123,rest,hr_bin_22.json
40de1432-b282-4965-860e-fc1a54b1a1c3,1684929600000,600,89,72,119,fat_burn,hr_bin_23.json
65324c46-a281-4cb7-9a4a-827838a9d3b1,1685016000000,600,95,80,120,fat_burn,hr_bin_24.json
8ef81161-fd91-4b24-a861-305f96aa0d60,1685102400000,600,95,80,120,fat_burn,hr_bin_25.json
8ce2d515-9bc5-4eb3-9c4a-0a0bb1e8460c,1685188800000,600,90,73,118,fat_burn,hr_bin_26.json
406d8e03-3480-42a2-90ec-737de5d367fe,1685275200000,600,101,86,126,fat_burn,hr_bin_27.json
a4bee097-4176-4377-94be-80b999a54a47,1685361600000,600,87,69,118,fat_burn,hr_bin_28.json
9386c1f5-a8c8-48ba-91cc-aaf5fe545a93,1685448000000,600,91,75,117,fat_burn,hr_bin_29.json
6b9ca903-cd09-494b-a934-d099c283b25a,1685534400000,600,95,80,120,fat_burn,hr_bin_30.json
17b900b2-0a3e-4775-a6e2-062e777ad472,1685620800000,600,83,63,122,rest,hr_bin_31.json
72cb2f16-36d8-4734-8803-1aee7f88331b,1685707200000,600,93,78,118,fat_burn,hr_bin_32.json
15ae96ba-5af8-4f61-b385-d15bf5a976fe,1685793600000,600,83,63,121,rest,hr_bin_33.json
f81c0fc2-40f9-432e-9e22-77d912a15c62,1685880000000,600,96,81,121,fat_burn,hr_bin_34.json
97c4de9b-579b-41a9-8030-0b04844d642d,1685966400000,600,84,65,120,rest,hr_bin_35.json
653fd8c8-c425-4c31-82be-a5624b74ea6b,1686052800000,600,99,84,124,fat_burn,hr_bin_36.json
4c9842e8-f6dd-443d-a3bf-42a77bd3458b,1686139200000,600,94,79,119,fat_burn,hr_bin_37.json
5e253268-a364-414b-b15c-edb734c35d38,1686225600000,600,88,71,117,fat_burn,hr_bin_38.json
84bf916f-b4aa-437d-af3a-7eecc9e34867,1686312000000,600,87,69,118,fat_burn,hr_bin_39.json
598ddad5-a135-4cc2-a231-8e39bce560f4,1686398400000,600,86,68,118,fat_burn,hr_bin_40.json
973c00b1-b307-416e-b6c2-e7f45b5084ac,1686484800000,600,94,79,119,fat_burn,hr_bin_41.json
703356ac-18b4-4485-841e-3cad06bb9cf2,1686571200000,600,99,84,124,fat_burn,hr_bin_42.json
7c3ae0b8-25c3-4898-97ab-fdd1dc25feec,1686657600000,600,87,70,116,fat_burn,hr_bin_43.json
fa1a5e92-8423-4fe3-8268-2328e8a97148,1686744000000,600,89,73,115,fat_burn,hr_bin_44.json
02f03c47-2242-40f8-a727-3d9851a1e15e,1686830400000,600,97,82,122,fat_burn,hr_bin_45.json
72f46a67-3b05-4f9e-9d81-985ec879aeb5,1686916800000,600,92,77,117,fat_burn,hr_bin_46.json
2ba9b942-4f74-4d9e-8a4e-efd63a7e1b2a,1687003200000,600,85,67,116,fat_burn,hr_bin_47.json
2df67394-b1b8-41c9-8187-46f92df9ef75,1687089600000,600,92,77,117,fat_burn,hr_bin_48.json
033bdc49-936b-4a7d-a73b-fb2c26dcc1c8,1687176000000,600,88,72,114,fat_burn,hr_bin_49.json
923ee163-898d-4afe-a4cf-d193eaa5912a,1687262400000,600,96,81,121,fat_burn,hr_bin_50.json
b01e3561-e108-4e35-bc37-0f8985b62851,1687348800000,600,85,68,115,fat_burn,hr_bin_51.json
298ab2e4-5cf4-4101-aaa6-21383436b708,1687435200000,600,81,61,119,rest,hr_bin_52.json
eaf54489-8cd3-4dc6-a033-8d8de516a90c,1687521600000,600,86,69,114,fat_burn,hr_bin_53.json
b8a1e451-5fa9-4dab-9ce7-eb09b610ac49,1687608000000,600,82,63,118,rest,hr_bin_54.json
3c249d92-47ce-4883-bcfd-e4372166d64e,1687694400000,600,84,66,116,rest,hr_bin_55.json
5ed8922d-1974-42ae-803f-9af1d3f0ccba,1687780800000,600,87,71,113,fat_burn,hr_bin_56.json
fbaa1886-d4fe-4268-96c0-66c73b27b51a,1687867200000,600,79,59,118,rest,hr_bin_57.json
5761d46d-418b-4019-b2d2-270e4bfb1dad,1687953600000,600,85,68,115,fat_burn,hr_bin_58.json
3823da45-3b33-484c-bf7a-f8adad589d82,1688040000000,600,82,63,116,rest,hr_bin_59.json
422abe04-e288-405f-84b2-2f4290dd4741,1688126400000,600,85,68,115,fat_burn,hr_bin_60.json
431b0237-d839-4646-b03f-19f89e56bdcd,1688212800000,600,92,77,117,fat_burn,hr_bin_61.json
36a5c482-dca0-4a62-85d6-e78a24c30415,1688299200000,600,80,60,117,rest,hr_bin_62.json
332480dd-de32-4929-9b75-34e5a9d0984d,1688385600000,600,80,61,116,rest,hr_bin_63.json
42df9da6-92c0-4d0b-aca0-cd64e7a974b2,1688472000000,600,82,64,114,rest,hr_bin_64.json
7e28afbe-e82a-4469-a399-f3047e75de5d,1688558400000,600,83,65,114,rest,hr_bin_65.json
024d5445-f288-4d51-9675-6a0aa7e5e32b,1688644800000,600,90,75,115,fat_burn,hr_bin_66.json
bf6bb631-9d75-4ced-b31e-fa6d069ba7f6,1688731200000,600,82,64,114,rest,hr_bin_67.json
e413a716-2c51-4325-8dac-a68130bde67d,1688817600000,600,94,79,119,fat_burn,hr_bin_68.json
4646c0f2-8416-40c1-812c-08733c930c1b,1688904000000,600,93,78,118,fat_burn,hr_bin_69.json
9788ae59-6f23-4358-a63d-3a259f54d5d2,1688990400000,600,85,69,111,fat_burn,hr_bin_70.json
